Name,Origine,Destinazione,Total_Minu,Total_Mete
35001 - 28060,35001.0,28060.0,108.89,192359.67
35002 - 28060,35002.0,28060.0,100.07,184595.52
37002 - 28060,37002.0,28060.0,65.04,107503.14
37003 - 28060,37003.0,28060.0,57.49,99024.36
37004 - 28060,37004.0,28060.0,81.06,139172.57
37033 - 28060,37033.0,28060.0,116.34,190347.76
37034 - 28060,37034.0,28060.0,96.14,147369.66
37035 - 28060,37035.0,28060.0,52.45,89034.3
41014 - 28060,41014.0,28060.0,162.15,290835.49
41015 - 28060,41015.0,28060.0,161.95,296452.88
41016 - 28060,41016.0,28060.0,167.77,301654.83
41017 - 28060,41017.0,28060.0,169.89,277861.07
48022 - 28060,48022.0,28060.0,123.45,228610.66
48023 - 28060,48023.0,28060.0,129.33,247700.62
48024 - 28060,48024.0,28060.0,117.13,219335.5
48025 - 28060,48025.0,28060.0,132.83,227473.43
48026 - 28060,48026.0,28060.0,122.19,202661.62
48027 - 28060,48027.0,28060.0,155.49,264676.23
36032 - 28060,36032.0,28060.0,127.81,202520.72
36033 - 28060,36033.0,28060.0,121.24,190244.29
39005 - 28060,39005.0,28060.0,103.31,172079.14
39006 - 28060,39006.0,28060.0,87.85,161936.53
39007 - 28060,39007.0,28060.0,115.25,210059.23
37005 - 28060,37005.0,28060.0,59.39,101191.41
37006 - 28060,37006.0,28060.0,63.7,114699.43
37007 - 28060,37007.0,28060.0,96.61,166020.23
37008 - 28060,37008.0,28060.0,67.0,116116.58
37009 - 28060,37009.0,28060.0,71.23,120845.6
37010 - 28060,37010.0,28060.0,101.58,172398.02
40007 - 28060,40007.0,28060.0,106.71,200742.95
33031 - 28060,33031.0,28060.0,153.34,266681.78
33032 - 28060,33032.0,28060.0,118.83,220969.49
33033 - 28060,33033.0,28060.0,144.21,257172.02
33034 - 28060,33034.0,28060.0,140.38,245850.62
33035 - 28060,33035.0,28060.0,127.15,231227.96
33036 - 28060,33036.0,28060.0,138.02,242450.76
35031 - 28060,35031.0,28060.0,155.74,238312.8
51026 - 28060,51026.0,28060.0,142.01,267178.74
51027 - 28060,51027.0,28060.0,171.64,288943.68
51028 - 28060,51028.0,28060.0,153.22,280275.5
51029 - 28060,51029.0,28060.0,139.91,257999.23
51030 - 28060,51030.0,28060.0,149.49,268431.56
51031 - 28060,51031.0,28060.0,164.68,281465.68
51032 - 28060,51032.0,28060.0,155.56,254355.72
54030 - 28060,54030.0,28060.0,226.1,386225.9
50025 - 28060,50025.0,28060.0,165.2,276297.26
50026 - 28060,50026.0,28060.0,156.91,294631.22
50027 - 28060,50027.0,28060.0,178.94,307875.16
50028 - 28060,50028.0,28060.0,157.77,268147.06
50029 - 28060,50029.0,28060.0,154.78,265415.72
50030 - 28060,50030.0,28060.0,186.55,353841.98
53020 - 28060,53020.0,28060.0,220.4,374508.64
53021 - 28060,53021.0,28060.0,189.44,336113.48
53022 - 28060,53022.0,28060.0,217.41,366778.71
54014 - 28060,54014.0,28060.0,217.34,375741.49
54015 - 28060,54015.0,28060.0,191.74,358654.08
44010 - 28060,44010.0,28060.0,212.28,402369.93
23092 - 28060,23092.0,28060.0,50.98,70860.65
23093 - 28060,23093.0,28060.0,53.81,66270.17
23094 - 28060,23094.0,28060.0,60.2,95500.95
23095 - 28060,23095.0,28060.0,56.6,76332.28
23096 - 28060,23096.0,28060.0,59.12,100423.57
49007 - 28060,49007.0,28060.0,182.63,349396.48
49008 - 28060,49008.0,28060.0,167.81,318278.4
52023 - 28060,52023.0,28060.0,147.76,263784.92
52024 - 28060,52024.0,28060.0,197.11,361530.55
52025 - 28060,52025.0,28060.0,160.34,289854.57
52026 - 28060,52026.0,28060.0,168.66,310066.43
52027 - 28060,52027.0,28060.0,193.7,358232.36
52028 - 28060,52028.0,28060.0,147.72,267821.32
53023 - 28060,53023.0,28060.0,217.5,377182.65
53024 - 28060,53024.0,28060.0,221.55,412279.91
53025 - 28060,53025.0,28060.0,204.66,346385.09
53026 - 28060,53026.0,28060.0,238.13,429991.98
53027 - 28060,53027.0,28060.0,203.05,344377.35
53028 - 28060,53028.0,28060.0,270.02,457037.21
55033 - 28060,55033.0,28060.0,237.14,427428.34
44014 - 28060,44014.0,28060.0,218.44,423166.37
44015 - 28060,44015.0,28060.0,231.96,428005.38
44016 - 28060,44016.0,28060.0,219.9,409332.98
44017 - 28060,44017.0,28060.0,204.54,393775.06
44020 - 28060,44020.0,28060.0,225.13,435553.92
44021 - 28060,44021.0,28060.0,230.69,424818.8
44023 - 28060,44023.0,28060.0,206.46,400864.54
48004 - 28060,48004.0,28060.0,113.81,204940.5
18058 - 28060,18058.0,28060.0,138.46,252526.63
18059 - 28060,18059.0,28060.0,173.28,312908.67
18069 - 28060,18069.0,28060.0,155.83,292931.59
18070 - 28060,18070.0,28060.0,140.1,255315.0
18071 - 28060,18071.0,28060.0,141.21,256604.82
18072 - 28060,18072.0,28060.0,145.06,271301.55
18073 - 28060,18073.0,28060.0,157.47,293286.9
18074 - 28060,18074.0,28060.0,147.26,260170.5
18075 - 28060,18075.0,28060.0,158.89,285046.63
18076 - 28060,18076.0,28060.0,148.52,284244.34
52029 - 28060,52029.0,28060.0,183.1,322793.77
52030 - 28060,52030.0,28060.0,185.65,327560.16
52031 - 28060,52031.0,28060.0,180.16,343524.54
52032 - 28060,52032.0,28060.0,152.7,282860.43
54056 - 28060,54056.0,28060.0,180.45,318956.25
54057 - 28060,54057.0,28060.0,205.14,354063.13
54058 - 28060,54058.0,28060.0,236.97,408330.45
54059 - 28060,54059.0,28060.0,219.94,382511.87
55001 - 28060,55001.0,28060.0,235.23,432991.04
55002 - 28060,55002.0,28060.0,203.22,376205.44
56002 - 28060,56002.0,28060.0,245.28,435489.79
56003 - 28060,56003.0,28060.0,211.04,395458.59
76065 - 28060,76065.0,28060.0,417.0,793750.39
76066 - 28060,76066.0,28060.0,395.23,730282.37
56007 - 28060,56007.0,28060.0,251.17,469336.05
56008 - 28060,56008.0,28060.0,215.17,400668.73
56009 - 28060,56009.0,28060.0,213.94,412221.43
56010 - 28060,56010.0,28060.0,240.35,452447.41
56011 - 28060,56011.0,28060.0,235.64,440645.76
56012 - 28060,56012.0,28060.0,243.73,437609.05
56013 - 28060,56013.0,28060.0,233.25,422019.49
56014 - 28060,56014.0,28060.0,250.88,471360.75
56015 - 28060,56015.0,28060.0,246.8,457516.85
56016 - 28060,56016.0,28060.0,240.85,451345.46
56017 - 28060,56017.0,28060.0,236.15,447775.33
47014 - 28060,47014.0,28060.0,124.39,233333.68
48005 - 28060,48005.0,28060.0,109.02,206064.48
48006 - 28060,48006.0,28060.0,112.32,210833.54
48008 - 28060,48008.0,28060.0,131.94,235185.16
48010 - 28060,48010.0,28060.0,146.69,250340.94
48011 - 28060,48011.0,28060.0,139.75,245314.53
51008 - 28060,51008.0,28060.0,173.95,292785.15
20035 - 28060,20035.0,28060.0,86.07,149412.82
20036 - 28060,20036.0,28060.0,65.29,113442.91
20037 - 28060,20037.0,28060.0,81.63,136080.48
20038 - 28060,20038.0,28060.0,73.39,106469.0
20039 - 28060,20039.0,28060.0,76.41,139352.62
20040 - 28060,20040.0,28060.0,77.59,108039.07
20041 - 28060,20041.0,28060.0,92.17,148071.29
20043 - 28060,20043.0,28060.0,96.19,162683.17
20044 - 28060,20044.0,28060.0,62.52,109890.27
22121 - 28060,22121.0,28060.0,135.48,236554.03
22122 - 28060,22122.0,28060.0,130.26,208099.05
55003 - 28060,55003.0,28060.0,215.55,400821.22
55004 - 28060,55004.0,28060.0,224.03,422467.67
55005 - 28060,55005.0,28060.0,245.04,460283.34
55006 - 28060,55006.0,28060.0,208.44,406637.07
55007 - 28060,55007.0,28060.0,201.05,386332.99
55008 - 28060,55008.0,28060.0,231.86,438325.09
46018 - 28060,46018.0,28060.0,150.05,286404.31
47015 - 28060,47015.0,28060.0,144.44,256449.41
50031 - 28060,50031.0,28060.0,150.12,281095.91
51009 - 28060,51009.0,28060.0,141.82,260308.38
51010 - 28060,51010.0,28060.0,160.57,277098.56
51011 - 28060,51011.0,28060.0,157.66,284124.73
51012 - 28060,51012.0,28060.0,169.96,309886.03
22123 - 28060,22123.0,28060.0,83.63,153260.12
22124 - 28060,22124.0,28060.0,91.49,163660.17
22125 - 28060,22125.0,28060.0,122.83,218820.99
22126 - 28060,22126.0,28060.0,105.65,194223.85
22127 - 28060,22127.0,28060.0,85.99,160141.7
22128 - 28060,22128.0,28060.0,88.66,162824.13
22129 - 28060,22129.0,28060.0,82.76,107317.39
22130 - 28060,22130.0,28060.0,72.46,91443.21
22131 - 28060,22131.0,28060.0,146.65,249524.21
22132 - 28060,22132.0,28060.0,108.06,195306.73
22133 - 28060,22133.0,28060.0,109.34,138161.02
22134 - 28060,22134.0,28060.0,130.4,157387.79
22135 - 28060,22135.0,28060.0,96.18,166617.83
22136 - 28060,22136.0,28060.0,152.07,255234.94
22137 - 28060,22137.0,28060.0,144.84,247822.11
22138 - 28060,22138.0,28060.0,133.65,212839.24
22139 - 28060,22139.0,28060.0,94.71,123945.92
22140 - 28060,22140.0,28060.0,130.86,196623.98
22142 - 28060,22142.0,28060.0,81.38,97457.2
22143 - 28060,22143.0,28060.0,142.03,222301.08
22144 - 28060,22144.0,28060.0,87.53,161033.38
22145 - 28060,22145.0,28060.0,137.43,200145.5
22146 - 28060,22146.0,28060.0,136.12,202315.29
22147 - 28060,22147.0,28060.0,125.35,151978.21
22148 - 28060,22148.0,28060.0,126.11,204827.06
22149 - 28060,22149.0,28060.0,131.56,197125.51
22150 - 28060,22150.0,28060.0,140.7,240671.29
46019 - 28060,46019.0,28060.0,185.47,335442.36
46020 - 28060,46020.0,28060.0,176.89,304846.87
46021 - 28060,46021.0,28060.0,136.18,254896.62
49009 - 28060,49009.0,28060.0,164.77,313507.43
50032 - 28060,50032.0,28060.0,140.62,248091.1
